what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345353908
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345356650
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345403578
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345438635
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345448229
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345481280
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416345538890
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345541275
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345569813
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345602805
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345607309
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345626531
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416345643890
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345645940
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345646185
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416345664809
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416345676691
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345679381
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345679662
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416345691116
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345727093
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345761381
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345765847
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416345791626
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345798981
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345812726
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345825555
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416345839823
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345844834
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345855885
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345886237
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345898237
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416345908934
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416345910842
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345938229
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416345955959
error,log,,,"Internal Error",1416345963772
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345964454
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345967983
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345972371
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345975883
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345978929
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416345982987
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416346011978
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416346050392
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416346056166
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416346088195
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416346090364
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416346098975
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346120100
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346202484
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1416346204788
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416346209952
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1416346229345
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1416346231900
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1416346234505
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1416346249590
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416346291977
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1416346365385
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.saveAll",1416346366589
activated,view,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.PackageExplorer",1416346376306
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416346380278
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346393605
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346519361
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416346560209
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346606867
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346608466
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416346608644
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416346622630
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416346638204
error,log,,,"Internal Error",1416346650510
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416346662600
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416346798193
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346903077
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346903425
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416346910655
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346928933
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416346929912
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416346983506
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416347022649
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416347058761
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347066292
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347090997
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1416347091047
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347161704
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347179925
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347225800
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347256912
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416347308813
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416347316794
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347348800
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347348985
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347349206
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347360420
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347408351
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347464483
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416347486225
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416347489927
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416347513110
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347517708
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347563478
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416347575570
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347592030
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347609576
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347612505
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347613437
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347614185
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347614787
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347615440
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347616083
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347617852
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347618829
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416347639990
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416347642146
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347652349
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347652631
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416347663453
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347673072
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347679924
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347690105
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416347699573
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347703131
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347704009
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416347711717
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347713156
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347713422
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1416347722779
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347738284
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347748309
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1416347756667
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347775452
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347800898
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347824526
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347879016
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416347899067
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347908782
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347928064
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416347939666
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347951917
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347952170
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347965508
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347965843
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347970508
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347970828
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347975651
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347975951
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347981387
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416347981745
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416347995816
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348001551
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348008311
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348011459
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348045425
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416348071845
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416348072151
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416348081770
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416348095886
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348101082
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348106394
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416348119721
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416348122695
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416348136486
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416348147836
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416348157220
