what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415440499122
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415440504572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440506321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440507717
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1415440507817
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1415440507817
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1415440507857
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1415440507857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440508550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440535028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415440538738
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1415440545268
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1415440545508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440549240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440570772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440589168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415440630393
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415440631335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415440631395
