what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341358371
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341370721
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341377608
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341382178
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341386675
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341389008
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341397941
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341407086
error,log,,,"Internal Error",1416341425579
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341427430
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341430281
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341455845
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341456206
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341463075
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416341469444
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341484109
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341505119
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341531725
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341576596
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341581135
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416341583183
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416341589059
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341591333
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341592296
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416341641732
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341656214
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341684999
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341694379
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341696923
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341800112
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341802077
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341809390
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341846291
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341852234
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341853289
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341855526
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416341858861
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341861451
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341863716
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416341880076
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416341952943
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416341955799
error,log,,,"Proposal matching failed for [METHOD_REF]{completion:clone(), declSign:[[Ljava.lang.String;, sign:()[[Ljava.lang.String;, declKey:, key:, name:clone, replace:[899,899], token:[899,899], relevance:35}.",1416341976504
error,log,,,"Proposal matching failed for [METHOD_REF]{completion:clone(), declSign:[[Ljava.lang.String;, sign:()[[Ljava.lang.String;, declKey:, key:, name:clone, replace:[899,899], token:[899,899], relevance:35}.",1416341991772
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416341991840
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416341993157
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342003442
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416342030106
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416342033103
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342039285
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342081885
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416342097016
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342099412
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342101204
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416342158057
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416342160908
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416342175587
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416342178313
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342209133
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342293789
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342332966
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416342376089
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416342384392
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416342387233
