what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416349542604
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416349549157
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349578509
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349604695
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349617699
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349618011
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416349621084
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416349621351
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416349621585
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416349622314
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416349622616
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.saveAll",1416349630582
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349732014
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349805955
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349827294
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349856137
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416349863844
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349865565
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349865905
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349874334
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349874600
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416349880515
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349882762
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349883040
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349899618
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349902453
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416349923813
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416349940658
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349959405
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416349985134
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416350004738
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350013237
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350013504
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416350041382
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416350044692
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416350046584
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416350049464
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350065486
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350086137
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416350120316
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416350123831
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350142021
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350172566
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416350202949
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350205219
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350205552
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350209788
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350210074
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416350214892
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350217101
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350217374
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350220782
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350289289
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350300621
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416350301469
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350304091
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350304352
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1416350336289
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350348261
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350363924
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350368493
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350387847
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1416350424508
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416350427181
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416350428702
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1416350430284
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350445767
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350483815
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350556496
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350569064
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350571029
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350571395
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350571653
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1416350580725
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1416350587696
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1416350598295
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1416350613926
