what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1409856250712
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1409856250713
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1409856250715
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1409856250716
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1409856250717
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1409856250719
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1409856250760
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1409856250760
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1409856250762
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409856250763
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1409856250763
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1409856250763
os,sysinfo,,,"win32",1409856250768
arch,sysinfo,,,"x86",1409856250768
ws,sysinfo,,,"win32",1409856250768
locale,sysinfo,,,"uk_UA",1409856250768
processors,sysinfo,,,"2",1409856250768
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409856250768
java.runtime.version,sysinfo,,,"1.6.0_37-b06",1409856250768
java.specification.name,sysinfo,,,"Java Platform API Specification",1409856250768
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1409856250768
java.specification.version,sysinfo,,,"1.6",1409856250768
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1409856250768
java.version,sysinfo,,,"1.6.0_37",1409856250768
java.vm.info,sysinfo,,,"mixed mode, sharing",1409856250768
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409856250768
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409856250768
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1409856250768
java.vm.specification.version,sysinfo,,,"1.0",1409856250768
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1409856250768
java.vm.version,sysinfo,,,"20.12-b01",1409856250768
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1409856251258
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1409856252310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856253095
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1409856253490
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1409856281832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856317546
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1409856328638
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1409856328874
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1409856328896
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1409856329456
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1409856329679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856330369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856336008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856336517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856341165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409856364547
started,bundle,org.eclipse.jst.server.ui,1.1.202.v20110419,"org.eclipse.jst.server.ui",1409856379149
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1409856379167
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1409858475963
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1409858475997
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1409858476133
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1409858476139
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1409858476143
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1409858768210
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1409858768269
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1409858790151
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1409858859624
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1409858859698
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1409858919515
