what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445649808
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445667208
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445689961
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.properties",1415445690062
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445701076
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445731130
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.properties",1415445731159
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445736222
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445777672
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.properties",1415445777782
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445784852
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445794392
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.properties",1415445794412
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445808752
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445851113
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.properties",1415445851126
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445864436
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415445936154
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1415445937414
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1415446053639
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1415446053649
started,bundle,org.eclipse.mylyn.java.ui,3.13.0.v20140702-2225,"org.eclipse.mylyn.java.ui",1415446054529
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1415446054549
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1415446055709
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1415446055726
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1415446057041
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.text.contentAssist.proposals",1415446058201
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415446066733
