what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050109022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050111906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050113409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050126798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050175648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050176942
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050189037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415050205507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415050212957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050234154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050272591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415050288146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415050291120
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1415050291497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050330291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050356219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050373992
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415050440325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050461712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050464104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415050473444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050487172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050524146
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415050534197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050550756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050551060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415050560420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050570349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415050638292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415050642551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050667579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050671002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050684038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050684288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050684506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415050685058
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050717367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050735501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050771720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050777617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050808076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415050829032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415050831628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050854851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050856836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050885514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050941504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050956275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415050969679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050980999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415050982625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415051001663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415051024404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133198062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133239881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133270653
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415133286214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415133354088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415133365481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133368891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133369391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415133431955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133440719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133490149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415133520288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133522519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133522857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133555488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133562693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415133568553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415133571713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415133589784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415133593365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415133595552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415133596458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415133597381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133666243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415133711591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415133714260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415133759137
